timestamp,mood,sentiment
2025-06-07 14:45:37,good,0.4404
2025-06-07 14:45:56,bad,-0.5423
2025-06-07 14:46:04,bad,-0.5423
2025-06-07 14:58:41,bad,-0.5423
2025-06-07 15:04:17,I’m feeling tired and unmotivated lately,-0.5859
2025-06-07 15:04:38,I’m feeling tired and unmotivated lately,-0.5859
2025-06-07 15:11:06,I’ve been feeling really anxious and overwhelmed lately.,-0.0847
2025-06-07 15:14:28,"You are a compassionate, understanding mental health assistant. ",0.4939
2025-06-07 15:14:50,"Respond with detailed motivational support, helpful coping tips, and encouraging words.",0.836
2025-06-07 15:14:56,"""Respond with detailed motivational support, helpful coping tips, and encouraging words.""",0.836
2025-06-07 15:15:14,"""Respond with detailed motivational support, helpful coping tips, and encouraging words.""",0.836
2025-06-07 15:16:30,"""I feel sad and hopeless.",-0.7269
2025-06-07 15:16:34,"""I feel sad and hopeless.",-0.7269
2025-06-07 15:24:11,good,0.4404
2025-06-07 15:24:18,good,0.4404
